iter	RMSE
0	0.6694843614
1	0.6308326334
2	0.5977530707
3	0.5683725894
4	0.5428972018
5	0.5210432605
6	0.5025215986
7	0.4872304257
8	0.4733695851
9	0.4619430377
10	0.4520142832
11	0.4440309545
12	0.4371951781
13	0.4314381642
14	0.4256028058
15	0.4205600366
16	0.4166129056
17	0.4130437729
18	0.4096264746
19	0.4066041745
20	0.40417046
21	0.4015725129
22	0.3996217564
23	0.3972462635
24	0.3954652258
25	0.394029888
26	0.3924296236
27	0.3910107634
28	0.3896248025
29	0.3881372497
30	0.3870610874
31	0.3860040951
32	0.3852301763
33	0.3842904316
34	0.3835797279
35	0.3829637886
36	0.3823885877
37	0.3816006137
38	0.380801937
39	0.3800119043
40	0.3794410191
41	0.3787501636
42	0.3781359916
43	0.3774439223
44	0.3769403022
45	0.3764604272
46	0.3760824591
47	0.375442147
48	0.3751587434
49	0.3747510559
50	0.3743351951
51	0.3738513716
52	0.3733169644
53	0.3729229538
54	0.3724649704
55	0.3720688154
56	0.3714482521
57	0.3710008793
58	0.3706566866
59	0.3702991251
60	0.3700175309
61	0.3696615581
62	0.3694391063
63	0.3692582476
64	0.3690734331
65	0.3688429458
66	0.3685097815
67	0.3681995091
68	0.3679093052
69	0.3675571332
70	0.3672079853
71	0.3669894776
72	0.3666528274
73	0.366487463
74	0.3662575131
75	0.3659418877
76	0.3657319498
77	0.3655922829
78	0.3652792672
79	0.3650968816
80	0.3648806693
81	0.364714579
82	0.3644243197
83	0.3641399134
84	0.3639170817
85	0.3636330746
86	0.3633402506
87	0.363060215
88	0.3628628984
89	0.3626735805
90	0.3622942424
91	0.3620088429
92	0.3616613364
93	0.3615300047
94	0.361318831
95	0.3610645094
96	0.3609179389
97	0.3606772514
98	0.3604592257
99	0.3603099694
100	0.3600504859
101	0.3599078276
102	0.3596749698
103	0.3594537123
104	0.3592269925
105	0.3589333458
106	0.3585971046
107	0.358443728
108	0.3581479859
109	0.3579462242
110	0.357773975
111	0.3574705893
112	0.3572350081
113	0.3569938106
114	0.3568154211
115	0.3566812353
116	0.3565082338
117	0.3563566714
118	0.3562028981
119	0.3559792476
120	0.3558376163
121	0.3556968991
122	0.3555684181
123	0.3553762706
124	0.3552187333
125	0.3549298469
126	0.3547261586
127	0.3545324545
128	0.3543748513
129	0.3542501504
130	0.3539771236
131	0.3538425691
132	0.3535930288
133	0.3533502314
134	0.3532575057
135	0.353084807
136	0.3529589986
137	0.3528761161
138	0.3527331999
139	0.3526077057
140	0.3524491991
141	0.3523770002
142	0.3521794784
143	0.3520490735
144	0.3518843564
145	0.3517321222
146	0.3515549839
147	0.3514429856
148	0.3512158613
149	0.3510484417
150	0.3509491871
151	0.3507562282
152	0.3506049916
153	0.350423499
154	0.3503473028
155	0.3501897545
156	0.3499866925
157	0.3498216533
158	0.3496550069
159	0.3495485749
160	0.3494112344
161	0.3492494047
162	0.3490766751
163	0.3489291512
164	0.3486831019
165	0.3485473669
166	0.3484758505
167	0.3482832079
168	0.3480813901
169	0.3479150622
170	0.3477930566
171	0.347632219
172	0.3475268228
173	0.3473646757
174	0.3472367771
175	0.3470960641
176	0.3469913529
177	0.346873464
178	0.3466853622
179	0.3465542361
180	0.3463914195
181	0.3462002622
182	0.3460718448
183	0.3459980044
184	0.3458951808
185	0.3457984085
186	0.3457066427
187	0.345549857
188	0.3454577542
189	0.3453565575
190	0.3452578328
191	0.3451937296
192	0.3450838049
193	0.3448527494
194	0.3446701693
195	0.3445751529
196	0.3443623841
197	0.3442991399
198	0.3442249999
199	0.3441108123
200	0.3440353057
201	0.3438615851
202	0.3437786741
203	0.343673544
204	0.3435445783
205	0.3433978686
206	0.3432079213
207	0.3429931809
208	0.3429006702
