iter	Passed	Remaining
0	9	5939
1	23	6909
2	34	6780
3	43	6517
4	56	6669
5	66	6622
6	76	6492
7	88	6559
8	100	6569
9	110	6494
10	121	6529
11	133	6531
12	148	6710
13	158	6632
14	170	6632
15	180	6592
16	191	6559
17	203	6577
18	216	6627
19	226	6578
20	240	6625
21	251	6617
22	262	6575
23	272	6547
24	286	6587
25	302	6686
26	318	6763
27	329	6740
28	342	6736
29	356	6774
30	368	6762
31	379	6741
32	388	6673
33	401	6682
34	413	6673
35	421	6610
36	432	6585
37	442	6539
38	454	6544
39	467	6539
40	478	6518
41	491	6532
42	506	6563
43	518	6555
44	528	6524
45	538	6488
46	550	6478
47	560	6448
48	573	6445
49	584	6425
50	594	6399
51	604	6366
52	616	6358
53	625	6329
54	635	6295
55	646	6280
56	655	6248
57	671	6275
58	683	6263
59	694	6247
60	703	6214
61	715	6213
62	725	6182
63	734	6148
64	745	6134
65	754	6103
66	768	6109
67	779	6096
68	789	6072
69	800	6064
70	813	6064
71	823	6041
72	833	6016
73	845	6006
74	854	5980
75	867	5977
76	877	5957
77	889	5949
78	899	5934
79	912	5928
80	922	5909
81	930	5880
82	943	5877
83	952	5852
84	964	5841
85	975	5829
86	988	5826
87	999	5815
88	1011	5809
89	1025	5810
90	1036	5794
91	1047	5785
92	1060	5779
93	1069	5755
94	1080	5741
95	1091	5729
96	1103	5724
97	1114	5711
98	1126	5702
99	1137	5687
100	1147	5668
101	1160	5665
102	1170	5649
103	1181	5632
104	1192	5623
105	1210	5642
106	1221	5629
107	1231	5608
108	1242	5597
109	1252	5579
110	1263	5567
111	1275	5556
112	1285	5540
113	1296	5526
114	1308	5518
115	1320	5509
116	1330	5490
117	1342	5483
118	1355	5477
119	1364	5456
120	1376	5447
121	1388	5441
122	1397	5421
123	1413	5426
124	1425	5415
125	1436	5404
126	1445	5384
127	1457	5375
128	1469	5367
129	1479	5347
130	1491	5340
131	1502	5328
132	1516	5324
133	1527	5312
134	1539	5302
135	1553	5299
136	1562	5279
137	1574	5270
138	1585	5259
139	1594	5239
140	1610	5243
141	1622	5231
142	1633	5219
143	1642	5202
144	1656	5197
145	1668	5189
146	1678	5172
147	1690	5162
148	1703	5157
149	1714	5142
150	1727	5136
151	1740	5130
152	1753	5122
153	1762	5103
154	1774	5093
155	1786	5084
156	1798	5073
157	1808	5059
158	1823	5058
159	1836	5049
160	1847	5036
161	1858	5025
162	1871	5017
163	1883	5008
164	1893	4992
165	1906	4985
166	1918	4975
167	1929	4962
168	1942	4954
169	1955	4946
170	1967	4937
171	1977	4921
172	1989	4910
173	2007	4916
174	2028	4925
175	2040	4914
176	2055	4911
177	2070	4908
178	2083	4901
179	2096	4891
180	2105	4875
181	2118	4866
182	2131	4857
183	2146	4853
184	2155	4836
185	2169	4829
186	2182	4819
187	2191	4802
188	2203	4791
189	2219	4788
190	2232	4780
191	2241	4762
192	2255	4757
193	2269	4748
194	2281	4739
195	2292	4724
196	2303	4711
197	2316	4702
198	2326	4688
199	2336	4672
200	2347	4660
201	2364	4659
202	2374	4644
203	2384	4629
204	2399	4622
205	2411	4611
206	2424	4602
207	2434	4587
208	2448	4579
209	2458	4564
210	2472	4557
211	2482	4543
212	2495	4534
213	2504	4517
214	2518	4509
215	2530	4498
216	2544	4490
217	2561	4487
218	2610	4540
219	2622	4529
220	2634	4518
221	2653	4517
222	2672	4518
223	2685	4508
224	2702	4504
225	2717	4496
226	2727	4481
227	2736	4464
228	2749	4454
229	2763	4445
230	2774	4432
231	2792	4428
232	2821	4443
233	2830	4427
234	2844	4418
235	2855	4403
236	2867	4392
237	2881	4382
238	2896	4375
239	2908	4362
240	2918	4347
241	2928	4331
242	2940	4320
243	2952	4307
244	2965	4296
245	2976	4283
246	2986	4267
247	3008	4269
248	3021	4258
249	3030	4242
250	3045	4234
251	3059	4224
